año,mes,Open,High,Low,AdjClose,ROC
1994,1,3615.199951,3980.5,3581.0,3980.49585,1.0892050454696607
1994,2,3954.399902,3970.0,3671.5,3739.696045,0.9395050732184538
1994,3,3719.5,3784.0,3480.800049,3489.09668,0.9329893761459433
1994,4,3485.600098,3618.699951,3293.800049,3520.696289,1.009056673373694
1994,5,3461.600098,3677.300049,3313.199951,3512.596436,0.997699360485792
1994,6,3502.5,3546.399902,3144.399902,3200.696777,0.9112053819210788
1994,7,3200.699951,3364.399902,3076.100098,3364.196533,1.0510825508916988
1994,8,3379.899902,3477.399902,3204.800049,3336.996582,0.991914874552307
1994,9,3326.300049,3326.300049,3119.800049,3176.596924,0.9519329270922219
1994,10,3156.300049,3294.300049,3056.300049,3194.496826,1.0056349302188021
1994,11,3169.199951,3341.5,3142.300049,3287.09668,1.028987305057351
1994,12,3281.199951,3336.800049,3017.699951,3087.696777,0.9393385949938052
1995,1,3087.699951,3121.300049,2929.699951,3040.096924,0.9845840260758221
1995,2,3054.199951,3174.100098,3002.199951,3024.496826,0.994868552421192
1995,3,3024.5,3092.300049,2833.600098,2931.697021,0.9693172747935301
1995,4,2931.699951,3107.0,2911.899902,3091.896729,1.0546440190962694
1995,5,3119.300049,3348.800049,3119.300049,3226.496826,1.0435331800501406
1995,6,3240.5,3283.800049,3196.0,3219.096924,0.9977065212212914
1995,7,3219.100098,3395.899902,3201.100098,3373.396484,1.0479325611011023
1995,8,3375.899902,3542.5,3375.899902,3432.796631,1.017608409590078
1995,9,3432.800049,3546.600098,3328.5,3376.796631,0.9836867702868589
1995,10,3376.800049,3387.899902,3162.199951,3277.296631,0.9705342041962015
1995,11,3280.899902,3527.899902,3242.899902,3510.096436,1.0710340964555802
1995,12,3520.5,3641.5,3509.199951,3630.796387,1.0343865056703534
1996,1,3640.0,3768.100098,3629.0,3734.496338,1.0285612135594537
1996,2,3734.5,3916.300049,3611.800049,3915.496094,1.0484669791099417
1996,3,3915.5,3939.5,3634.0,3857.096191,0.98508492880647
1996,4,3857.100098,4139.799805,3830.199951,4082.895752,1.0585413351958581
1996,5,4061.0,4189.799805,3980.600098,4111.695801,1.007053829132398
1996,6,4092.899902,4291.5,4064.600098,4264.095703,1.0370649749825684
1996,7,4264.100098,4306.5,3890.600098,3979.395752,0.9332332173502346
1996,8,3992.199951,4124.600098,3985.5,4025.49585,1.0115846979976373
1996,9,4025.5,4240.399902,3898.100098,4215.595703,1.0472239595030266
1996,10,4215.600098,4413.799805,4208.700195,4306.695801,1.0216102549718349
1996,11,4306.700195,4667.899902,4290.0,4667.794922,1.08384597791099
1996,12,4667.799805,5217.799805,4603.299805,5154.794434,1.1043318140873537
1997,1,5097.5,5571.5,5011.399902,5327.394531,1.0334834102911188
1997,2,5318.399902,5567.5,5263.799805,5305.394531,0.995870401587121
1997,3,5305.399902,5702.799805,5249.0,5424.294434,1.0224111331033454
1997,4,5367.600098,5909.299805,5254.5,5909.293945,1.0894124603487558
1997,5,5973.700195,6747.700195,5973.700195,6300.793457,1.0662514871732276
1997,6,6300.799805,6989.799805,6180.0,6884.593262,1.0926549662330882
1997,7,6884.600098,7222.299805,6640.899902,6810.893066,0.98929490919866
1997,8,6810.899902,6932.5,6500.200195,6532.292969,0.9590949242191493
1997,9,6532.299805,7307.399902,6532.100098,7269.692871,1.112885307731825
1997,10,7269.700195,7335.100098,5403.5,6380.393555,0.8776703044020524
1997,11,6419.899902,6953.5,6083.799805,6932.093262,1.0864679744665071
1997,12,6990.0,7374.600098,6967.5,7255.392578,1.0466380505542596
1998,1,7318.899902,8000.5,7235.200195,7958.991699,1.0969760234798969
1998,2,8030.200195,8903.599609,8003.5,8900.09082,1.118243510810325
1998,3,8923.299805,10407.799805,8779.299805,10209.088867,1.1470769314014706
1998,4,10209.099609,10949.799805,9503.299805,10025.589844,0.9820259157902776
1998,5,10163.200195,10527.700195,9590.799805,10005.69043,0.9980151378313259
1998,6,10005.700195,10402.700195,9465.799805,10146.389648,1.0140619199628786
1998,7,10180.799805,10989.799805,10180.799805,10493.689453,1.0342289047679596
1998,8,10437.799805,10568.900391,7870.0,8264.691406,0.7875868104365558
1998,9,8264.700195,8735.299805,7090.799805,7676.492188,0.9288298631969518
1998,10,7676.5,8814.299805,6869.700195,8799.991211,1.1463557827566433
1998,11,8928.299805,9981.900391,8789.099609,9645.490234,1.0960795303912494
1998,12,9469.400391,10054.900391,9002.799805,9836.589844,1.019812327353397
1999,1,9971.299805,10920.099609,8905.599609,9878.790039,1.0042901244912372
1999,2,9941.599609,10275.299805,9363.700195,9997.290039,1.0119953961499517
1999,3,9997.299805,10276.200195,9588.799805,9740.69043,0.9743330834657208
1999,4,9826.900391,10239.099609,9605.299805,9975.390625,1.0240948212743888
1999,5,9975.400391,10416.299805,9911.299805,10072.290039,1.0097138465692919
1999,6,10072.299805,10484.400391,9981.400391,10218.588867,1.0145248823687099
1999,7,10290.0,10555.599609,9234.200195,9391.890625,0.9190985905431867
1999,8,9391.900391,10079.799805,9100.400391,9806.089844,1.044101793295745
1999,9,9850.200195,10117.0,9420.299805,9525.390625,0.9713750104817008
1999,10,9525.400391,9835.5,9210.799805,9741.490234,1.022686692599549
1999,11,9741.5,11022.799805,9697.700195,10958.088867,1.124888349089936
1999,12,10958.099609,11822.5,10901.0,11641.388672,1.0623557459054507
2000,1,11641.400391,11881.799805,10770.5,10835.088867,0.9307385203159377
2000,2,10840.0,12912.299805,10840.0,12585.787109,1.1615767312561713
2000,3,12585.799805,12968.5,11633.799805,11934.988281,0.9482909712071468
2000,4,11935.0,11958.599609,10771.599609,11467.888672,0.9608630022918748
2000,5,11569.200195,11974.400391,10211.299805,10688.489258,0.9320363637726113
2000,6,10688.5,11220.5,10351.400391,10581.289063,0.9899705007496952
2000,7,10581.299805,11063.900391,10375.0,10531.588867,0.9953030112206473
2000,8,10531.599609,11364.299805,10453.0,10884.689453,1.033527760194515
2000,9,10938.599609,11510.200195,10629.599609,10949.989258,1.0059992345470177
2000,10,10950.0,11304.599609,9826.599609,10363.088867,0.9464017381961164
2000,11,10382.599609,10673.900391,9179.599609,9214.490234,0.8891644520527489
2000,12,9260.5,9902.0,8756.400391,9109.791016,0.9886375463708584
2001,1,9109.799805,10219.5,8946.200195,10115.990234,1.1104525028326955
2001,2,10116.0,10168.299805,9231.599609,9551.390625,0.944187410630116
2001,3,9509.0,9963.0,8531.799805,9308.290039,0.97454814743272
2001,4,9308.299805,9904.0,8784.799805,9760.990234,1.0486340877973592
2001,5,9761.0,9854.599609,9370.599609,9500.69043,0.9733326437420963
2001,6,9498.900391,9663.900391,8634.099609,8878.391602,0.9344996205712595
2001,7,8878.400391,9104.900391,8074.5,8479.991211,0.9551269634344296
2001,8,8480.0,8684.900391,8083.799805,8321.09082,0.9812617269232689
2001,9,8321.099609,8374.400391,6260.100098,7313.992676,0.8789704179673884
2001,10,7314.0,8176.600098,6925.899902,7774.291992,1.062934068489079
2001,11,7765.0,8742.700195,7602.700195,8364.691406,1.0759425314366298
2001,12,8302.900391,8876.0,8099.5,8397.59082,1.0039331294369571
2002,1,8397.599609,8608.5,7737.700195,8050.391602,0.9586549016923884
2002,2,8067.0,8204.5,7628.0,8135.491699,1.0105709263856006
2002,3,8118.399902,8481.099609,8066.0,8249.691406,1.0140372224845404
2002,4,8235.799805,8470.799805,7933.100098,8154.391602,0.9884480765025115
2002,5,8202.200195,8229.700195,7788.100098,7949.89209,0.974921548782395
