año,mes,Activos,Ocupados,Parados,Tasa Act,Tasa Paro,Tasa Paro ROC
2001,3,17814.7,15866.3,1948.3,52.57,10.94,
2001,4,17853.833333333332,15936.3,1917.4666666666667,52.623333333333335,10.743333333333332,0.982023156611822
2001,5,17892.966666666667,16006.3,1886.6333333333332,52.67666666666666,10.546666666666667,0.9816940738442446
2001,6,17932.1,16076.3,1855.8,52.73,10.35,0.9813527180783818
2001,7,18009.399999999998,16148.966666666665,1860.4333333333334,52.89333333333333,10.33,0.9980676328502416
2001,8,18086.7,16221.633333333333,1865.0666666666666,53.056666666666665,10.309999999999999,0.9980638915779282
2001,9,18164.0,16294.3,1869.7,53.22,10.29,0.9980601357904947
2001,10,18206.666666666668,16312.266666666666,1894.4,53.28333333333333,10.403333333333332,1.0110139293812763
2001,11,18249.333333333332,16330.233333333334,1919.1,53.346666666666664,10.516666666666667,1.0108939442486384
2001,12,18292.0,16348.2,1943.8,53.41,10.63,1.0107765451664026
2002,1,18406.366666666665,16392.9,2013.4666666666667,53.626666666666665,10.936666666666667,1.028849169018501
2002,2,18520.733333333334,16437.6,2083.133333333333,53.843333333333334,11.243333333333334,1.0280402316366961
2002,3,18635.1,16482.3,2152.8,54.06,11.55,1.0272754224725764
2002,4,18713.466666666667,16577.166666666668,2136.3,54.2,11.416666666666668,0.9884559884559885
2002,5,18791.833333333332,16672.033333333333,2119.8,54.339999999999996,11.283333333333333,0.9883211678832116
2002,6,18870.2,16766.9,2103.3,54.48,11.15,0.9881831610044314
2002,7,18951.9,16817.7,2134.2000000000003,54.626666666666665,11.263333333333334,1.0101644245142003
2002,8,19033.6,16868.5,2165.1,54.77333333333333,11.376666666666667,1.0100621485646641
2002,9,19115.3,16919.3,2196.0,54.92,11.49,1.0099619103428068
2002,10,19151.63333333333,16943.5,2208.133333333333,54.93,11.53,1.0034812880765882
2002,11,19187.966666666667,16967.7,2220.266666666667,54.940000000000005,11.57,1.0034692107545533
2002,12,19224.3,16991.9,2232.4,54.95,11.61,1.0034572169403628
2003,1,19289.933333333334,17025.5,2264.4333333333334,55.06,11.736666666666666,1.0109101349411427
2003,2,19355.566666666666,17059.100000000002,2296.4666666666667,55.17,11.863333333333333,1.0107923885259869
2003,3,19421.2,17092.7,2328.5,55.28,11.99,1.0106771565046362
2003,4,19493.86666666667,17202.86666666667,2291.0,55.403333333333336,11.753333333333334,0.9802613288851821
2003,5,19566.533333333333,17313.033333333333,2253.5,55.526666666666664,11.516666666666666,0.9798638684061258
2003,6,19639.2,17423.2,2216.0,55.65,11.28,0.9794500723589001
2003,7,19723.966666666667,17497.466666666667,2226.5,55.81666666666666,11.286666666666667,1.0005910165484635
2003,8,19808.733333333334,17571.733333333334,2237.0,55.983333333333334,11.293333333333333,1.0005906674542233
2003,9,19893.5,17646.0,2247.5,56.15,11.3,1.000590318772137
2003,10,19934.7,17677.5,2257.233333333333,56.18333333333333,11.323333333333334,1.0020648967551622
2003,11,19975.899999999998,17709.0,2266.9666666666667,56.21666666666667,11.346666666666666,1.002060641742714
2003,12,20017.1,17740.5,2276.7,56.25,11.37,1.0020564042303173
2004,1,20038.066666666666,17750.4,2287.733333333333,56.24666666666667,11.413333333333332,1.0038111990618586
2004,2,20059.033333333333,17760.3,2298.766666666667,56.24333333333333,11.456666666666667,1.0037967289719627
2004,3,20080.0,17770.2,2309.8,56.24,11.5,1.0037823683444864
2004,4,20142.166666666668,17853.100000000002,2289.0666666666666,56.343333333333334,11.363333333333333,0.9881159420289855
2004,5,20204.333333333332,17936.0,2268.3333333333335,56.446666666666665,11.226666666666667,0.9879730126136697
2004,6,20266.5,18018.9,2247.6,56.55,11.09,0.9878266033254157
2004,7,20340.633333333335,18108.966666666667,2231.6666666666665,56.67666666666666,10.973333333333333,0.9894800120228434
2004,8,20414.766666666666,18199.033333333333,2215.7333333333336,56.803333333333335,10.856666666666667,0.9893681652490888
2004,9,20488.9,18289.1,2199.8,56.93,10.74,0.9892539146453792
2004,10,20548.5,18356.333333333332,2192.166666666667,56.99333333333333,10.67,0.9934823091247672
2004,11,20608.100000000002,18423.566666666666,2184.5333333333333,57.056666666666665,10.6,0.993439550140581
2004,12,20667.7,18490.8,2176.9,57.12,10.53,0.9933962264150943
2005,1,20730.933333333334,18572.566666666666,2158.366666666667,57.20666666666666,10.41,0.9886039886039887
2005,2,20794.166666666668,18654.333333333332,2139.8333333333335,57.29333333333334,10.29,0.9884726224783861
2005,3,20857.4,18736.1,2121.3,57.38,10.17,0.9883381924198251
2005,4,20948.166666666668,18877.6,2070.5666666666666,57.54,9.886666666666667,0.9721402818747952
2005,5,21038.933333333334,19019.1,2019.8333333333333,57.7,9.603333333333333,0.971341874578557
2005,6,21129.7,19160.6,1969.1,57.86,9.32,0.9704963554321416
2005,7,21155.0,19247.766666666666,1907.2333333333333,57.86,9.016666666666667,0.9674535050071531
2005,8,21180.3,19334.93333333333,1845.3666666666666,57.86,8.713333333333333,0.9663585951940848
2005,9,21205.6,19422.1,1783.5,57.86,8.41,0.9651874521805662
2005,10,21260.233333333334,19451.13333333333,1809.1,57.93333333333333,8.51,1.0118906064209274
2005,11,21314.866666666665,19480.166666666668,1834.7,58.00666666666667,8.610000000000001,1.011750881316099
2005,12,21369.5,19509.2,1860.3,58.08,8.71,1.0116144018583042
2006,1,21420.1,19532.266666666666,1887.8,58.15333333333333,8.816666666666666,1.012246460007654
2006,2,21470.7,19555.333333333336,1915.3,58.22666666666667,8.923333333333334,1.0120982986767486
2006,3,21521.3,19578.4,1942.8,58.3,9.03,1.0119536794919686
2006,4,21589.533333333333,19682.8,1906.6666666666667,58.41,8.833333333333332,0.9782207456626061
2006,5,21657.766666666666,19787.2,1870.5333333333333,58.52,8.636666666666667,0.9777358490566039
2006,6,21726.0,19891.6,1834.4,58.63,8.44,0.9772288691624854
