Fecha,año,mes,Open,High,Low,AdjClose,ROC,Activos,Ocupados,Parados,Tasa Act,Tasa Paro,Tasa Paro ROC
2005-03-01,2005,3,9372.200195,9581.799805,9158.0,9258.790039,0.985922656535051,20857.4,18736.1,2121.3,57.38,10.17,0.9883381924198251
2005-04-01,2005,4,9254.700195,9442.200195,8938.900391,9001.59082,0.9722210766291681,20948.166666666668,18877.6,2070.5666666666666,57.54,9.886666666666667,0.9721402818747952
2005-05-01,2005,5,9027.900391,9472.400391,9020.099609,9427.089844,1.0472693141144132,21038.933333333334,19019.1,2019.8333333333333,57.7,9.603333333333333,0.971341874578557
2005-06-01,2005,6,9455.400391,9815.5,9443.0,9783.19043,1.0377741797195918,21129.7,19160.6,1969.1,57.86,9.32,0.9704963554321416
2005-07-01,2005,7,9731.0,10162.400391,9399.299805,10115.589844,1.0339765863067225,21155.0,19247.766666666666,1907.2333333333333,57.86,9.016666666666667,0.9674535050071531
2005-08-01,2005,8,10122.599609,10253.700195,9823.799805,10008.890625,0.989452002241541,21180.3,19334.93333333333,1845.3666666666666,57.86,8.713333333333333,0.9663585951940848
2005-09-01,2005,9,10049.900391,10851.400391,10048.400391,10813.889648,1.0804283964287997,21205.6,19422.1,1783.5,57.86,8.41,0.9651874521805662
2005-10-01,2005,10,10835.799805,10919.200195,10256.0,10493.789063,0.9703991259926349,21260.233333333334,19451.13333333333,1809.1,57.93333333333333,8.51,1.0118906064209274
2005-11-01,2005,11,10469.400391,10716.799805,10336.099609,10557.789063,1.0060988456710696,21314.866666666665,19480.166666666668,1834.7,58.00666666666667,8.610000000000001,1.011750881316099
2005-12-01,2005,12,10580.0,10811.900391,10423.900391,10733.889648,1.0166796839706853,21369.5,19509.2,1860.3,58.08,8.71,1.0116144018583042
2006-01-01,2006,1,10725.799805,11112.099609,10611.099609,11104.288086,1.0345073827053006,21420.1,19532.266666666666,1887.8,58.15333333333333,8.816666666666666,1.012246460007654
2006-02-01,2006,2,11030.5,11840.099609,11030.099609,11740.688477,1.0573112284255624,21470.7,19555.333333333336,1915.3,58.22666666666667,8.923333333333334,1.0120982986767486
2006-03-01,2006,3,11764.599609,11970.0,11566.799805,11854.288086,1.0096757195476693,21521.3,19578.4,1942.8,58.3,9.03,1.0119536794919686
2006-04-01,2006,4,11923.5,11975.5,11552.099609,11892.488281,1.0032224790491735,21589.533333333333,19682.8,1906.6666666666667,58.41,8.833333333333332,0.9782207456626061
2006-05-01,2006,5,11843.299805,12106.0,10918.299805,11340.488281,0.9535841459787775,21657.766666666666,19787.2,1870.5333333333333,58.52,8.636666666666667,0.9777358490566039
2006-06-01,2006,6,11327.700195,11585.299805,10744.200195,11548.087891,1.0183060556879031,21726.0,19891.6,1834.4,58.63,8.44,0.9772288691624854
2006-07-01,2006,7,11527.900391,11892.299805,11116.0,11817.988281,1.0233718683601587,21769.933333333334,19958.066666666666,1811.9,58.66666666666667,8.32,0.9857819905213271
2006-08-01,2006,8,11806.900391,12200.0,11698.5,12144.6875,1.0276442327773536,21813.866666666665,20024.533333333333,1789.4,58.70333333333333,8.2,0.9855769230769229
2006-09-01,2006,9,12152.200195,13001.599609,11969.200195,12934.6875,1.0650490183464987,21857.8,20091.0,1766.9,58.74,8.08,0.9853658536585367
2006-10-01,2006,10,12937.200195,13773.5,12819.599609,13752.986328,1.0632639039791263,21910.13333333333,20125.8,1784.4,58.78666666666667,8.14,1.0074257425742574
2006-11-01,2006,11,13769.200195,14338.0,13652.0,13849.286133,1.007002101412981,21962.466666666667,20160.600000000002,1801.9,58.833333333333336,8.2,1.0073710073710072
2006-12-01,2006,12,13910.5,14420.799805,13551.099609,14146.485352,1.0214595334478533,22014.8,20195.4,1819.4,58.88,8.26,1.0073170731707317
2007-01-01,2007,1,14173.200195,14605.599609,14065.700195,14553.185547,1.028749204122457,22053.466666666667,20219.433333333334,1834.0,58.88666666666667,8.313333333333333,1.006456820016142
2007-02-01,2007,2,14637.5,14963.599609,14070.900391,14248.385742,0.9790561451982019,22092.13333333333,20243.466666666667,1848.6000000000001,58.89333333333333,8.366666666666667,1.0064153969526866
2007-03-01,2007,3,14228.599609,14730.400391,13602.400391,14641.685547,1.0276031132313228,22130.8,20267.5,1863.2,58.9,8.42,1.0063745019920318
2007-04-01,2007,4,14619.900391,15136.200195,14342.0,14374.584961,0.9817575247643037,22205.233333333334,20371.966666666667,1833.2,59.01,8.256666666666666,0.9806017418844022
2007-05-01,2007,5,14421.799805,15340.5,14176.0,15329.384766,1.0664227737768077,22279.666666666664,20476.433333333334,1803.2,59.12,8.093333333333334,0.9802180056519986
2007-06-01,2007,6,15330.400391,15543.799805,14582.400391,14891.985352,0.9714666034758207,22354.1,20580.9,1773.2,59.23,7.93,0.979818780889621
2007-07-01,2007,7,14790.799805,15297.200195,14378.700195,14802.385742,0.993983367033868,22422.6,20638.4,1784.2,59.32,7.956666666666666,1.0033627574611181
2007-08-01,2007,8,14508.900391,15028.700195,13841.599609,14479.785156,0.9782061762459912,22491.1,20695.9,1795.2,59.41,7.983333333333333,1.0033514872224552
2007-09-01,2007,9,14517.700195,14704.5,13519.099609,14576.485352,1.0066782894192272,22559.6,20753.4,1806.2,59.5,8.01,1.003340292275574
2007-10-01,2007,10,14519.0,15897.299805,14443.900391,15890.484375,1.0901451201211347,22593.033333333333,20741.56666666667,1851.4666666666667,59.49,8.196666666666667,1.023304203079484
2007-11-01,2007,11,15864.099609,16040.400391,15165.099609,15759.884766,0.9917812694743607,22626.466666666667,20729.733333333334,1896.7333333333333,59.48,8.383333333333333,1.0227734851565675
2007-12-01,2007,12,15767.099609,15983.400391,15107.400391,15182.28418,0.9633499486464456,22659.9,20717.9,1942.0,59.47,8.57,1.0222664015904575
